Mailing City,Mailing State/Province,Mailing Country,Reporting Term,Program SeleConnecticution: Program SeleConnecticution Name,Admissions Status,Status
Middletown,New Jersey,United States,Fall 2023,Public Affairs/Community Development (PHD),Started App,Did Not A/C
Merchantville,New Jersey,United States of America,Fall 2022,Prevention Science (PHD),Admit-Coming,A/C
Hamilton,New Jersey,United States,Fall 2022,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
Haddon Heights,New Jersey,United States,Fall 2022,Teacher Education (MAT),Admit-Coming,A/C
Philadelphia,Pennsylvania,United States of America,Fall 2023,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
Salem,New Jersey,United States,Fall 2022,Prevention Science (PHD),Admit-Coming,A/C
Sicklerville,New Jersey,United States,Fall 2022,Prevention Science (PHD),Admit-Not Coming,Did Not A/C
Bridgeton,New Jersey,United States,Fall 2022,Prevention Science (MS),Admit-Coming,A/C
Woodbury,New Jersey,United States of America,Spring 2023,Criminal Justice (NOD),Withdrawn,Did Not A/C
Camden,New Jersey,United States,Fall 2022,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Not Coming,Did Not A/C
Flushing,New York,United States of America,Fall 2022,Business and Science - Computer and Information Sciences (MBS) Camden,Admit-Withdrawn,Did Not A/C
Princeton,New Jersey,United States,Fall 2022,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
River Vale,New Jersey,United States,Fall 2022,Criminal Justice (MA),Admit-Coming,A/C
Runnemede,New Jersey,United States,Fall 2022,Criminal Justice (MA),Admit-Coming,A/C
Cherry Hill,New Jersey,United States,Fall 2022,Chemistry (MS),Admit-Withdrawn,Did Not A/C
Mount Laurel,New Jersey,United States of America,Fall 2022,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Morganville,New Jersey,United States,Fall 2023,Biology: Computational and Integrative (MS),Started App,Did Not A/C
Haddon Twp,New Jersey,United States,Fall 2022,"History (American, Global, Public) (MA)",Withdrawn,Did Not A/C
Medford,New Jersey,United States of America,Fall 2022,Public Administration - On Campus (MPA),Deferred to Spring,Did Not A/C
San Rafael,CA,United States,Fall 2022,English (MA),Withdrawn,Did Not A/C
Madison,Wisconsin,United States of America,Fall 2023,English (MA),Admit-Withdrawn,Did Not A/C
Indianapolis,Indiana,United States,Fall 2022,Childhood Studies (MA),Started App,Did Not A/C
Mays Landing,New Jersey,United States of America,Fall 2023,Psychology - Accelerated Degree BA/MA (MA),Admit-Coming,A/C
Highland Park,New Jersey,United States of America,Fall 2022,English (MA),Complete App,Did Not A/C
Roslindale,Massachusetts,United States of America,Fall 2022,English (MA),Admit-Withdrawn,Did Not A/C
Lago Vista,Texas,United States of America,Fall 2022,Liberal Studies (MA),Admit-Withdrawn,Did Not A/C
Fresh Meadows,NY,United States of America,Fall 2023,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
Staten Island,New York,United States,Fall 2022,English (MA),Admit-Withdrawn,Did Not A/C
Ansonia,ConneConnecticuticut,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
"New Egypt, New Jersey",New Jersey,United States,Fall 2022,Psychology: Psychological Sciences (MA),Admit-Coming,A/C
Verona,New Jersey,United States of America,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Fort Lauderdale,Florida,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Orland Park,Illinois,United States,Fall 2022,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
New York,New York,United States,Fall 2022,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
Miramar,Florida,United States of America,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Cinnaminson,New Jersey,United States,Fall 2022,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
Camden,New Jersey,United States,Fall 2022,Criminal Justice (MA),Withdrawn,Did Not A/C
Pennsauken,New Jersey,United States,Fall 2023,Public Affairs/Community Development (MS),Started App,Did Not A/C
Bronx,New York,United States,Fall 2022,Biology (MS),Admit-Coming,A/C
Flushing,New York,United States of America,Fall 2022,Computer Science: Scientific Computing (MS),Admit-Coming,A/C
Providence,RI,United States,Fall 2022,English (MA),Denied,Did Not A/C
Jersey City,New Jersey,United States of America,Fall 2022,English (MA),Denied,Did Not A/C
Harrisburg,Pennsylvania,United States of America,Fall 2022,English (MA),Denied,Did Not A/C
Brooklyn,New York,United States,Fall 2022,Liberal Studies (MA),Withdrawn,Did Not A/C
Orange,Massachusetts,United States,Fall 2022,Mathematical Sciences (MS),Admit-Withdrawn,Did Not A/C
Fayetteville,Arkansas,United States,Fall 2022,Mathematical Sciences (MS),Admit-Coming,A/C
Flushing,New York,United States,Fall 2022,Mathematical Sciences (MS),Admit-Withdrawn,Did Not A/C
Hanson,MA,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Richmond,VA,United States of America,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Spring Lake,New Jersey,United States of America,Fall 2022,Prevention Science (PHD),Deferred to Spring,Did Not A/C
Milford,New Jersey,United States of America,Spring 2023,Liberal Studies - Online (MA),Admit-Not Coming,Did Not A/C
Bronx,New York,United States,Fall 2022,Biology (MS),Admit-Coming,A/C
Bronx,New York,United States of America,Fall 2023,Public Affairs/Community Development (PHD),Withdrawn,Did Not A/C
Swedesboro,New Jersey,United States,Fall 2022,Prevention Science (PHD),Withdrawn,Did Not A/C
Bronx,New York,United States,Fall 2022,Biology (MS),Admit-Coming,A/C
Woolwich Township,New Jersey,United States,Fall 2022,Prevention Science (PHD),Admit-Coming,A/C
Bordentown,New Jersey,United States,Fall 2022,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
Riverside,New Jersey,United States,Fall 2022,"History (American, Global, Public) (MA)",Admit-Coming,A/C
Riverside,New Jersey,United States of America,Spring 2023,Teacher Education (MAT),Admit-Coming,A/C
Saint Louis,Missouri,United States of America,Fall 2022,Biology (MS),Admit-Withdrawn,Did Not A/C
Westville,New Jersey,United States,Fall 2023,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Camden,New Jersey,United States of America,Fall 2022,Biology (MS),Admit-Coming,A/C
Philadelphia,Pennsylvania,United States of America,Fall 2022,Biology (MS),Admit-Coming,A/C
Bronx,New York,United States,Fall 2022,Biology: Computational and Integrative (MS),Admit-Withdrawn,Did Not A/C
Pleasantville,New Jersey,United States,Fall 2022,Teacher Education (MAT),Withdrawn,Did Not A/C
Santa Fe,NM,United States,Fall 2022,Liberal Studies (MA),Started App,Did Not A/C
Pine Hill,New Jersey,United States,Fall 2022,Teacher Education (MAT),Admit-Withdrawn,Did Not A/C
keansburg,new jersey,United States,Fall 2022,Criminal Justice (MA),Withdrawn,Did Not A/C
Jersery City,New Jersey,United States of America,Fall 2022,Computer Science: Scientific Computing (MS),Admit-Withdrawn,Did Not A/C
Montclair,New Jersey,United States,Fall 2022,Liberal Studies - Online (MA),Admit-Coming,A/C
Westampton,New Jersey,United States,Fall 2022,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
Cherry Hill,New Jersey,United States,Fall 2022,Biology (MS),Admit-Not Coming,Did Not A/C
Tucson,AZ,United States,Fall 2022,Computer Science: Scientific Computing (MS),Admit-Withdrawn,Did Not A/C
Oakland,New Jersey,United States,Fall 2022,English (MA),Admit-Withdrawn,Did Not A/C
New York,New York,United States of America,Fall 2022,English (MA),Denied,Did Not A/C
Audubon,New Jersey,United States,Fall 2022,Teacher Education (MAT),Admit-Coming,A/C
West Orange,New Jersey,United States,Fall 2022,English (MA),Denied,Did Not A/C
East Lansing,Michigan,United States of America,Fall 2023,Childhood Studies (PHD),Denied,Did Not A/C
Oakland,New Jersey,United States,Fall 2022,Liberal Studies (MA),Admit-Coming,A/C
Indianapolis,Indiana,United States,Fall 2022,Liberal Studies (MA),Withdrawn,Did Not A/C
Long Island City,New York,United States,Fall 2022,Liberal Studies (MA),Withdrawn,Did Not A/C
Pleasantville,New Jersey,United States,Spring 2023,Teacher Education - Spanish (MAT),Started App,Did Not A/C
Newark,New Jersey,United States,Fall 2022,Public Administration - On Campus (MPA),Started App,Did Not A/C
Clifton,New Jersey,United States of America,Fall 2022,Prevention Science (PHD),Denied,Did Not A/C
Pompton Lakes,New Jersey,United States,Fall 2022,Prevention Science (PHD),Admit-Withdrawn,Did Not A/C
Pennington,New Jersey,United States,Fall 2022,Prevention Science (PHD),Denied,Did Not A/C
Saint Albans,New York,United States,Fall 2022,Prevention Science (PHD),Admit-Coming,A/C
Berlin,New Jersey,United States,Fall 2022,Prevention Science (PHD),Alternative Admission,Did Not A/C
Marlton,New Jersey,United States,Fall 2022,Teacher Education (MAT),Admit-Coming,A/C
Utica,New York,United States,Fall 2022,Liberal Studies - Online (MA),Started App,Did Not A/C
Chatsworth,New Jersey,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Astoria,New York,United States,Fall 2022,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
Plainsboro,New Jersey,United States,Fall 2022,Psychology: Psychological Sciences (MA),Admit-Withdrawn,Did Not A/C
Wichita,Kansas,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Camden,New Jersey,United States of America,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Morris Plains,New Jersey,United States,Fall 2022,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
Toms River,New Jersey,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Colorado Springs,Colorado,United States,Fall 2022,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
Philadelphia,Pennsylvania,United States,Fall 2022,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
Wyckoff,New Jersey,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Waxhaw,North Carolina,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Bayside,New York,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Westerville,Ohio,United States of America,Fall 2022,Psychology: Psychological Sciences (MA),Deferred to Fall,Did Not A/C
Atlantic City,New Jersey,United States of America,Fall 2023,Childhood Studies (MA),Withdrawn,Did Not A/C
Pennsauken,New Jersey,United States of America,Fall 2022,Liberal Studies - Online (MA),Deferred to Fall,Did Not A/C
Philadelphia,Pennsylvania,United States of America,Fall 2023,"History (American, Global, Public) (MA)",Admit-Coming,A/C
Cambria Heights,New York,United States,Fall 2022,Prevention Science (PHD),Admit-Withdrawn,Did Not A/C
Camden,New Jersey,United States of America,Fall 2023,Prevention Science (PHD),Admit-Coming,A/C
Pennsauken,New Jersey,United States of America,Fall 2023,Liberal Studies - Online (MA),Started App,Did Not A/C
haddonfield,New Jersey,United States,Fall 2022,Teacher Education - Spanish (NOD),Started App,Did Not A/C
Fremont,California,United States,Fall 2022,Computer Science: Scientific Computing (MS),Admit-Coming,A/C
North Plainfield,New Jersey,United States of America,Fall 2022,Liberal Studies (MA),Withdrawn,Did Not A/C
Lawrenceville,New Jersey,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Irving,Texas,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Lawrenceville,New Jersey,United States,Fall 2022,Teacher Education - Spanish (NOD),Admit-Coming,A/C
Philadelphia,Pennsylvania,United States of America,Spring 2023,Public Administration - On Campus (MPA),Deferred to Fall,Did Not A/C
Tulsa,Oklahoma,United States of America,Fall 2023,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Westampton,New Jersey,United States,Fall 2022,Teacher Education - Spanish (MAT),Admit-Coming,A/C
Clementon,New Jersey,United States,Fall 2022,Childhood Studies (MA),Withdrawn,Did Not A/C
Blackwood,New Jersey,United States of America,Fall 2023,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
Ventnor City,New Jersey,United States,Fall 2023,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Weehawken,New Jersey,United States of America,Fall 2024,Public Affairs/Community Development (MS),Admit-Coming,A/C
Chesterfield,New Jersey,United States of America,Fall 2022,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Withdrawn,Did Not A/C
"Alexandria, Virginia, 22302",Virginia,United States of America,Spring 2023,Data Science (MS),Admit-Not Coming,Did Not A/C
Cinnaminson,New Jersey,United States of America,Fall 2023,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Downingtown,Pennsylvania,United States of America,Fall 2023,Childhood Studies (PHD),Withdrawn,Did Not A/C
Carteret,New Jersey,United States of America,Fall 2022,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
Pennsauken,New Jersey,United States,Fall 2022,Biology (MS),Denied,Did Not A/C
Iselin,New Jersey,United States,Fall 2022,Criminal Justice (NOD),Withdrawn,Did Not A/C
Hillsborough,New Jersey,United States,Fall 2022,Teacher Education - Spanish (MAT),Withdrawn,Did Not A/C
Hillsborough,New Jersey,United States,Fall 2022,Teacher Education - Spanish (MAT),Admit-Coming,A/C
West Deptford,New Jersey,United States of America,Fall 2022,Teacher Education (MAT),Admit-Coming,A/C
Barnegat,New Jersey,United States,Fall 2022,Childhood Studies (MA),Started App,Did Not A/C
Linden,New Jersey,United States of America,Fall 2022,Biology (MS),Admit-Withdrawn,Did Not A/C
Hanford,California,United States of America,Fall 2022,Childhood Studies (MA),Deferred to Spring,Did Not A/C
Somerdale,New Jersey,United States,Fall 2022,Biology (MS),Admit-Coming,A/C
Meridian,Idaho,United States,Fall 2022,English (MA),Admit-Not Coming,Did Not A/C
Pembroke Pines,FL,United States,Fall 2022,English (MA),Denied,Did Not A/C
Atlanta,Georgia,United States,Fall 2022,Mathematical Sciences (MS),Admit-Withdrawn,Did Not A/C
New York,New York,United States of America,Fall 2022,Prevention Science (PHD),Admit-Withdrawn,Did Not A/C
Silver Spring,md,United States,Fall 2022,English (MA),Denied,Did Not A/C
South Richmond Hill,New York,United States,Fall 2022,Public Administration - On Campus (MPA),Withdrawn,Did Not A/C
Middlesex,New Jersey,United States of America,Fall 2024,Forensic Science (MS),Started App,Did Not A/C
WHIPPANY,New Jersey,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Delran,New Jersey,United States,Fall 2022,Mathematical Sciences (MS),Admit-Coming,A/C
Statesboro,Georgia,United States,Fall 2022,Forensic Science (MS),Denied,Did Not A/C
Brooklyn,New York,United States,Fall 2022,Liberal Studies (MA),Withdrawn,Did Not A/C
West Lafayette,Indiana,United States,Fall 2022,Liberal Studies (MA),Withdrawn,Did Not A/C
Pleasantville,New Jersey,United States,Fall 2022,Teacher Education - Spanish (MAT),Admit-Coming,A/C
Gloucester City,New Jersey,United States of America,Fall 2023,Teacher Education (MAT),Withdrawn,Did Not A/C
Clifton,New Jersey,United States,Spring 2023,Forensic Science (MS),Started App,Did Not A/C
Upper Darby,Pennsylvania,United States,Spring 2024,Public Administration - On Campus (MPA),Started App,Did Not A/C
Dallas,Texas,United States,Spring 2023,Liberal Studies - Online (MA),Started App,Did Not A/C
Howell,New Jersey,United States,Spring 2023,Liberal Studies - Online (MA),Started App,Did Not A/C
